frame,landmark,x,y,z,visibility
0,0,0.02889546,1.4380146,-0.25984988,1.0
0,1,0.058457058,1.4539063,-0.25225744,1.0
0,2,0.054928236,1.4572974,-0.23959595,1.0
0,3,0.046244483,1.4597276,-0.24044682,1.0
0,4,0.02561133,1.4598513,-0.26368028,1.0
0,5,0.029468369,1.4575434,-0.2754512,1.0
0,6,0.035368614,1.4544531,-0.2538524,1.0
0,7,0.10291921,1.4406965,-0.111378804,1.0
0,8,-0.059957534,1.3956722,-0.13189177,1.0
0,9,0.062178295,1.4213651,-0.20754813,1.0
0,10,0.027044905,1.3935254,-0.23184341,1.0
0,11,0.1847088,1.2698742,0.015475058,1.0
0,12,-0.13611001,1.3411373,0.038954973,1.0
0,13,0.23111488,1.093789,-0.030553233,1.0
0,14,-0.20536427,1.0552506,-0.050424576,1.0
0,15,0.15104684,1.026984,-0.1746499,1.0
0,16,-0.14313294,1.0267806,-0.2640133,1.0
0,17,0.11337013,1.029374,-0.20319568,1.0
0,18,-0.095035136,1.0369029,-0.33474833,1.0
0,19,0.08843482,1.0466473,-0.21542984,1.0
0,20,-0.06944302,1.099238,-0.34612602,1.0
0,21,0.1388214,1.0246121,-0.17870767,1.0
0,22,-0.12153447,1.0482448,-0.27424446,1.0
0,23,0.088041835,0.81257576,0.03739933,1.0
0,24,-0.087988324,0.8321121,-0.03710289,1.0
0,25,0.073930144,0.3718843,0.015927158,1.0
0,26,-0.02961985,0.47247374,-0.042728186,1.0
0,27,0.037277207,0.03994168,0.15498805,1.0
0,28,-0.089455225,0.0910285,0.096596986,1.0
0,29,0.020650202,0.008787796,0.17300703,1.0
0,30,-0.093393564,0.065835774,0.07603769,1.0
0,31,0.05550035,-0.0032069124,0.10147144,1.0
0,32,-0.070017144,0.07187254,-0.026734289,1.0
1,0,0.029182602,1.4385544,-0.25523245,1.0
1,1,0.05804996,1.4547241,-0.24715261,1.0
1,2,0.054593943,1.4584024,-0.2362435,1.0
1,3,0.046448566,1.4598808,-0.2361114,1.0
1,4,0.025794528,1.4616042,-0.2594705,1.0
1,5,0.029633962,1.4587761,-0.2709281,1.0
1,6,0.03488821,1.4556628,-0.24910286,1.0
1,7,0.1027182,1.440436,-0.109676994,1.0
1,8,-0.057751462,1.3976777,-0.1293338,1.0
1,9,0.06180354,1.4216317,-0.20410272,1.0
1,10,0.026580794,1.3952521,-0.22746372,1.0
1,11,0.18490927,1.2692096,0.0141388215,1.0
1,12,-0.13534132,1.3409841,0.0374338,1.0
1,13,0.22970714,1.0920954,-0.03450135,1.0
1,14,-0.20033713,1.0571511,-0.059818693,1.0
1,15,0.1498201,1.0274116,-0.17276469,1.0
1,16,-0.09659938,1.0335815,-0.2643466,1.0
1,17,0.11215555,1.0293067,-0.19998398,1.0
1,18,-0.0366229,1.0428416,-0.3344991,1.0
1,19,0.088328,1.0472921,-0.21103027,1.0
1,20,-0.006887913,1.1076097,-0.34166995,1.0
1,21,0.13878946,1.0243939,-0.17701915,1.0
1,22,-0.0704055,1.0563886,-0.27264154,1.0
1,23,0.088260405,0.813451,0.036609888,1.0
1,24,-0.08767193,0.8320424,-0.036637627,1.0
1,25,0.07646959,0.37476957,0.01636178,1.0
1,26,-0.032387067,0.4747124,-0.04474534,1.0
1,27,0.04567247,0.040899992,0.15505394,1.0
1,28,-0.08919519,0.09315733,0.08750586,1.0
1,29,0.028479073,0.010364778,0.17324835,1.0
1,30,-0.092393465,0.06792323,0.06634224,1.0
1,31,0.06218169,-0.0030433163,0.10412032,1.0
1,32,-0.07075575,0.07181917,-0.034984197,1.0
2,0,0.02915566,1.4386705,-0.25366387,1.0
2,1,0.057784967,1.4548715,-0.2451846,1.0
2,2,0.054347135,1.4587581,-0.2350237,1.0
2,3,0.046513665,1.4597104,-0.23466247,1.0
2,4,0.025856014,1.4622105,-0.2579573,1.0
2,5,0.029679669,1.4593434,-0.26927152,1.0
2,6,0.034633905,1.4560578,-0.24742171,1.0
2,7,0.102773145,1.4401687,-0.10912933,1.0
